api_hnd,module_api_name,argument_no,argument_name,argument_datatype,argument_type,behavior_basic_flag,behavior_complete_flag
16,urlmon_URLDownloadToFileW,3,dwReserved,DWORD,IN,0,1
16,urlmon_URLDownloadToFileW,4,lpfnCB,LPBINDSTATUSCALLBACK,IN,0,1
17,urlmon_URLDownloadToFileA,0,pCaller,LPUNKNOWN,IN,0,1
17,urlmon_URLDownloadToFileA,1,szURL,LPCSTR,IN,1,1
17,urlmon_URLDownloadToFileA,2,szFileName,LPCSTR,IN,1,1
17,urlmon_URLDownloadToFileA,3,dwReserved,DWORD,IN,0,1
17,urlmon_URLDownloadToFileA,4,lpfnCB,LPBINDSTATUSCALLBACK,IN,0,1
18,wininet_InternetConnectA,0,hInternet,HINTERNET,IN,1,1
18,wininet_InternetConnectA,1,lpszServerName,LPCSTR,IN,1,1
18,wininet_InternetConnectA,2,nServerPort,INTERNET_PORT,IN,1,1
18,wininet_InternetConnectA,3,lpszUserName,LPCSTR,IN,0,1
18,wininet_InternetConnectA,4,lpszPassword,LPCSTR,IN,0,1
18,wininet_InternetConnectA,5,dwService,DWORD,IN,0,1
18,wininet_InternetConnectA,6,dwFlags,DWORD,IN,1,1
18,wininet_InternetConnectA,7,dwContext,DWORD_PTR,IN,0,1
19,wininet_InternetConnectW,0,hInternet,HINTERNET,IN,1,1
19,wininet_InternetConnectW,1,lpszServerName,LPCWSTR,IN,1,1
19,wininet_InternetConnectW,2,nServerPort,INTERNET_PORT,IN,1,1
19,wininet_InternetConnectW,3,lpszUserName,LPCWSTR,IN,0,1
19,wininet_InternetConnectW,4,lpszPassword,LPCWSTR,IN,0,1
19,wininet_InternetConnectW,5,dwService,DWORD,IN,0,1
19,wininet_InternetConnectW,6,dwFlags,DWORD,IN,1,1
19,wininet_InternetConnectW,7,dwContext,DWORD_PTR,IN,0,1
20,wininet_InternetOpenUrlA,0,hInternet,HINTERNET,IN,1,1
20,wininet_InternetOpenUrlA,1,lpszUrl,LPCSTR,IN,1,1
20,wininet_InternetOpenUrlA,2,lpszHeaders,LPCSTR,IN,0,1
20,wininet_InternetOpenUrlA,3,dwHeadersLength,DWORD,IN,0,1
20,wininet_InternetOpenUrlA,4,dwFlags,DWORD,IN,1,1
20,wininet_InternetOpenUrlA,5,dwContext,DWORD_PTR,IN,0,1
21,wininet_InternetOpenUrlW,0,hInternet,HINTERNET,IN,1,1
21,wininet_InternetOpenUrlW,1,lpszUrl,LPCWSTR,IN,1,1
21,wininet_InternetOpenUrlW,2,lpszHeaders,LPCWSTR,IN,0,1
21,wininet_InternetOpenUrlW,3,dwHeadersLength,DWORD,IN,0,1
21,wininet_InternetOpenUrlW,4,dwFlags,DWORD,IN,1,1
21,wininet_InternetOpenUrlW,5,dwContext,DWORD_PTR,IN,0,1
22,kernel32_CreateFileA,0,lpFileName,LPCSTR,IN,1,1
22,kernel32_CreateFileA,1,dwDesiredAccess,DWORD,IN,1,1
22,kernel32_CreateFileA,2,dwShareMode,DWORD,IN,1,1
22,kernel32_CreateFileA,3,lpSecurityAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
22,kernel32_CreateFileA,4,dwCreationDisposition,DWORD,IN,0,1
22,kernel32_CreateFileA,5,dwFlagsAndAttributes,DWORD,IN,1,1
22,kernel32_CreateFileA,6,hTemplateFile,HANDLE,IN,1,1
23,kernel32_CreateFileW,0,lpFileName,LPCWSTR,IN,1,1
23,kernel32_CreateFileW,1,dwDesiredAccess,DWORD,IN,1,1
23,kernel32_CreateFileW,2,dwShareMode,DWORD,IN,0,1
23,kernel32_CreateFileW,3,lpSecurityAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
